id,name,category,size_class,value,year
A001,Omicron Three,Type A,Small,39.2,2023
A002,Flux One,Type A,Small,26.1,2023
A003,Pulse Ten,Type A,Small,38.7,2023
A004,Relay Seven,Type A,Small,38.6,2023
A005,Alpha Minor,Type A,Small,24.1,2023
A006,Chi Two,Type A,Small,24.0,2023
A007,Psi Ten,Type A,Small,26.6,2023
A008,Theta Star,Type A,Small,14.1,2023
A009,Omega Ten,Type A,Small,27.1,2023
A010,Tau Two,Type A,Small,12.8,2023
A011,Nova Five,Type A,Small,21.1,2023
A012,Sigma Major,Type A,Small,26.6,2023
A013,Vortex Prime,Type A,Small,27.6,2023
A014,Spark Four,Type A,Small,26.6,2023
A015,Delta Four,Type A,Small,27.7,2023
A016,Terra Star,Type A,Small,24.0,2023
A017,Orbit Seven,Type A,Small,25.7,2023
A018,Spark Nine,Type A,Small,26.1,2023
A019,Unity Seven,Type A,Small,26.4,2023
A020,Delta Plus,Type A,Small,27.4,2023
A021,Flux Ten,Type A,Medium,49.3,2023
A022,Ion Nine,Type A,Medium,67.6,2023
A023,Theta Prime,Type A,Medium,51.8,2023
A024,Chi Two,Type A,Medium,42.4,2023
A025,Rho Nine,Type A,Medium,52.7,2023
A026,Eta Plus,Type A,Medium,45.2,2023
A027,Omega Minor,Type A,Medium,41.8,2023
A028,Quark Star,Type A,Medium,44.8,2023
A029,Beta Two,Type A,Medium,66.9,2023
A030,Delta Four,Type A,Medium,47.0,2023
A031,Zeta Major,Type A,Medium,41.4,2023
A032,Iota Three,Type A,Medium,25.7,2023
A033,Vortex Seven,Type A,Medium,48.0,2023
A034,Nu Major,Type A,Medium,50.1,2023
A035,Quark Eight,Type A,Medium,42.0,2023
A036,Chi One,Type A,Medium,40.8,2023
A037,Delta Four,Type A,Medium,45.3,2023
A038,Chi Two,Type A,Medium,63.4,2023
A039,Orbit Four,Type A,Medium,46.8,2023
A040,Pi Minor,Type A,Medium,49.6,2023
A041,Eta Prime,Type A,Large,63.6,2023
A042,Eta One,Type A,Large,58.6,2023
A043,Eta Four,Type A,Large,72.4,2023
A044,Ion Four,Type A,Large,72.9,2023
A045,Spark Two,Type A,Large,40.4,2023
A046,Alpha Two,Type A,Large,115.0,2023
A047,Lambda Seven,Type A,Large,73.5,2023
A048,Nova One,Type A,Large,68.0,2023
A049,Ion Five,Type A,Large,71.5,2023
A050,Orbit Three,Type A,Large,79.2,2023
A051,Delta Ten,Type A,Large,69.7,2023
A052,Delta Ten,Type A,Large,47.5,2023
A053,Pulse Two,Type A,Large,67.6,2023
A054,Pi Seven,Type A,Large,51.0,2023
A055,Pi Ten,Type A,Large,69.5,2023
A056,Quark Six,Type A,Large,61.7,2023
A057,Phi Four,Type A,Large,74.6,2023
A058,Epsilon One,Type A,Large,65.1,2023
A059,Eta Two,Type A,Large,63.7,2023
A060,Epsilon Star,Type A,Large,74.5,2023
A061,Helix Plus,Type A,Large,74.9,2023
A062,Quark One,Type A,Large,83.0,2023
A063,Eta Star,Type A,Large,68.7,2023
B064,Tau Ten,Type B,Small,29.9,2023
B065,Rho Nine,Type B,Small,27.7,2023
B066,Flux Plus,Type B,Small,31.0,2023
B067,Rho Three,Type B,Small,13.8,2023
B068,Flux Nine,Type B,Small,28.6,2023
B069,Kappa Nine,Type B,Small,45.8,2023
B070,Spark Three,Type B,Small,48.7,2023
B071,Gamma Star,Type B,Small,17.1,2023
B072,Spark Star,Type B,Small,28.1,2023
B073,Kappa Star,Type B,Small,26.8,2023
B074,Core One,Type B,Small,37.2,2023
B075,Core Minor,Type B,Small,28.9,2023
B076,Eta Seven,Type B,Small,30.0,2023
B077,Omicron Four,Type B,Small,32.4,2023
B078,Omicron Four,Type B,Small,27.6,2023
B079,Chi Five,Type B,Small,46.9,2023
B080,Sigma Six,Type B,Small,36.7,2023
B081,Beta Two,Type B,Small,34.9,2023
B082,Unity Five,Type B,Small,29.4,2023
B083,Psi Major,Type B,Small,51.0,2023
B084,Terra Four,Type B,Small,32.0,2023
B085,Quark Star,Type B,Medium,84.0,2023
B086,Nu Six,Type B,Medium,54.7,2023
B087,Theta Major,Type B,Medium,62.4,2023
B088,Core Six,Type B,Medium,51.0,2023
